,item,pick,win,win_rate,pick_rate,score
0,Ionian Boots of Lucidity,8500,4463,52.50588235294118,16.272302626541084,854.3916073206219
1,Shard of True Ice,7249,3949,54.47647951441578,13.877402557623094,755.9920361436556
2,Shurelyas Battlesong,7158,3897,54.44258172673931,13.70319320009189,746.0372157133012
3,Control Ward,4512,2048,45.39007092198582,8.637721111876868,392.06677387242524
4,Chemtech Putrifier,3353,2024,60.36385326573218,6.4189447890343825,387.47224136610765
5,Forbidden Idol,2166,1295,59.78762696214219,4.146565586951527,247.91331648671408
6,Amplifying Tome,2085,955,45.80335731414868,3.9915001148633125,182.82410598054977
7,Oblivion Orb,1756,778,44.30523917995444,3.3616662837889577,148.93942874645836
8,Ardent Censer,1513,936,61.863846662260414,2.8964698675243126,179.1867677463818
9,Moonstone Renewer,1412,710,50.28328611898017,2.703116624550119,135.92158664522552
10,Bandleglass Mirror,1322,536,40.544629349470505,2.530821655563213,102.61122597442377
11,Bulwark of the Mountain,1031,524,50.82444228903976,1.9737345891722184,100.31395972126501
12,Kindlegem,1000,389,38.9,1.914388544298951,74.4697143732292
13,Refillable Potion,989,439,44.388270980788676,1.8933302703116623,84.04165709472394
14,Faerie Charm,980,408,41.63265306122449,1.8761007734129718,78.1070526073972
15,Frostfang,846,238,28.132387706855795,1.6195727084769125,45.56244735431504
16,Mikaels Blessing,786,471,59.92366412213741,1.5047093958189754,90.1677004364806
17,Dark Seal,483,270,55.90062111801242,0.9246496668963933,51.68849069607167
18,Staff of Flowing Water,472,298,63.13559322033898,0.9035913929091048,57.048778620108735
19,Redemption,448,279,62.27678571428571,0.85764606784593,53.41144038594072
20,Mobility Boots,369,199,53.929539295392956,0.7064093728463129,38.096332031549125
21,Negatron Cloak,343,186,54.22740524781341,0.6566352706945402,35.60762692396049
22,Ruby Crystal,329,138,41.94528875379939,0.6298338310743549,26.418561911325522
23,Vigilant Wardstone,312,223,71.47435897435898,0.5972892258212726,42.6908645378666
24,Boots,308,68,22.07792207792208,0.5896316716440769,13.017842101232867
25,Targons Buckler,194,87,44.84536082474227,0.3713913775939965,16.655180335400875
26,Corrupting Potion,185,107,57.83783783783784,0.3541618806953059,20.483957423998774
27,Null-Magic Mantle,162,90,55.55555555555556,0.31013094417643006,17.22949689869056
28,Boots of Swiftness,159,87,54.71698113207547,0.30438777854353316,16.65518033540087
29,Mercurys Treads,157,84,53.503184713375795,0.3005590014549353,16.080863772111186
30,Plated Steelcaps,142,68,47.88732394366197,0.27184317329045105,13.017842101232866
31,Stopwatch,121,77,63.63636363636363,0.23164101386017305,14.740791791101922
32,Health Potion,116,45,38.793103448275865,0.22206907113867833,8.61474844934528
33,Total Biscuit of Everlasting Will,114,38,33.33333333333333,0.21824029405008039,7.274676468336012
34,Broken Stopwatch,45,19,42.22222222222222,0.08614748449345279,3.6373382341680065
35,Mejais Soulstealer,107,90,84.11214953271028,0.20483957423998775,17.229496898690556
36,Spellthiefs Edge,105,46,43.80952380952381,0.20101079715138986,8.806187303775175
37,Dorans Ring,95,62,65.26315789473685,0.18186691170840033,11.869208974653496
38,Zhonyas Hourglass,73,47,64.38356164383562,0.1397503637338234,8.997626158205069
39,Locket of the Iron Solari,72,37,51.388888888888886,0.13783597518952445,7.0832376139061175
40,Fiendish Codex,60,35,58.333333333333336,0.11486331265793705,6.700359905046328
41,Imperial Mandate,51,36,70.58823529411765,0.0976338157592465,6.891798759476224
42,Cloth Armor,39,19,48.717948717948715,0.07466115322765908,3.637338234168006
43,Everfrost,34,25,73.52941176470588,0.06508921050616433,4.785971360747377
44,Cosmic Drive,33,22,66.66666666666666,0.06317482196186539,4.211654797457692
45,Slightly Magical Footwear,32,14,43.75,0.061260433417566436,2.6801439620185317
46,Crown of the Shattered Queen,28,17,60.71428571428571,0.053602879240370625,3.2544605253082164
47,Seekers Armguard,25,14,56.00000000000001,0.04785971360747377,2.6801439620185317
48,Ludens Tempest,24,11,45.83333333333333,0.04594532506317482,2.1058273987288456
49,Tear of the Goddess,24,10,41.66666666666667,0.04594532506317482,1.9143885442989512
50,Watchful Wardstone,22,17,77.27272727272727,0.042116547974576916,3.254460525308216
51,Knights Vow,22,12,54.54545454545454,0.042116547974576916,2.2972662531587407
52,Ornn upgraded item,3,2,66.66666666666666,0.005743165632896853,0.3828777088597901
53,Wardens Mail,16,10,62.5,0.030630216708783218,1.9143885442989512
54,Perfectly Timed Stopwatch,15,5,33.33333333333333,0.028715828164484262,0.9571942721494753
55,Relic Shield,14,6,42.857142857142854,0.026801439620185313,1.1486331265793706
56,Needlessly Large Rod,14,9,64.28571428571429,0.026801439620185313,1.722949689869056
57,Crystalline Bracer,13,8,61.53846153846154,0.024887051075886363,1.531510835439161
58,Sorcerers Shoes,13,9,69.23076923076923,0.024887051075886363,1.7229496898690557
59,Glacial Buckler,13,8,61.53846153846154,0.024887051075886363,1.531510835439161
60,Zekes Convergence,12,10,83.33333333333334,0.02297266253158741,1.9143885442989512
61,Aether Wisp,12,5,41.66666666666667,0.02297266253158741,0.9571942721494756
62,Frozen Heart,12,6,50.0,0.02297266253158741,1.1486331265793706
63,Anathemas Chains,9,5,55.55555555555556,0.017229496898690556,0.9571942721494754
64,Liandrys Anguish,8,6,75.0,0.015315108354391609,1.1486331265793708
65,Winged Moonplate,8,6,75.0,0.015315108354391609,1.1486331265793708
66,Giants Belt,8,5,62.5,0.015315108354391609,0.9571942721494756
67,Zeal,8,1,12.5,0.015315108354391609,0.1914388544298951
68,Verdant Barrier,7,7,100.0,0.013400719810092656,1.3400719810092656
69,Berserkers Greaves,6,3,50.0,0.011486331265793705,0.5743165632896853
70,Banshees Veil,6,6,100.0,0.011486331265793705,1.1486331265793706
71,Abyssal Mask,5,4,80.0,0.009571942721494755,0.7657554177195803
72,Dagger,4,2,50.0,0.0076575541771958045,0.3828777088597902
73,Executioners Calling,4,1,25.0,0.0076575541771958045,0.1914388544298951
74,Guinsoos Rageblade,4,2,50.0,0.0076575541771958045,0.3828777088597902
75,Rabadons Deathcap,4,3,75.0,0.0076575541771958045,0.5743165632896854
76,Aegis of the Legion,4,1,25.0,0.0076575541771958045,0.1914388544298951
77,Demonic Embrace,3,3,100.0,0.005743165632896853,0.5743165632896853
78,Nashors Tooth,3,1,33.33333333333333,0.005743165632896853,0.19143885442989506
79,Recurve Bow,3,2,66.66666666666666,0.005743165632896853,0.3828777088597901
80,Evenshroud,3,2,66.66666666666666,0.005743165632896853,0.3828777088597901
81,Kraken Slayer,3,1,33.33333333333333,0.005743165632896853,0.19143885442989506
82,Bramble Vest,3,1,33.33333333333333,0.005743165632896853,0.19143885442989506
83,Randuins Omen,3,3,100.0,0.005743165632896853,0.5743165632896853
84,Seraphs Embrace,3,2,66.66666666666666,0.005743165632896853,0.3828777088597901
85,Elixir of Sorcery,2,1,50.0,0.0038287770885979022,0.1914388544298951
86,Pauldrons of Whiterock,2,1,50.0,0.0038287770885979022,0.1914388544298951
87,Quicksilver Sash,2,1,50.0,0.0038287770885979022,0.1914388544298951
88,Spectres Cowl,2,1,50.0,0.0038287770885979022,0.1914388544298951
89,Commencing Stopwatch,2,2,100.0,0.0038287770885979022,0.3828777088597902
90,Blasting Wand,2,2,100.0,0.0038287770885979022,0.3828777088597902
91,Morellonomicon,2,1,50.0,0.0038287770885979022,0.1914388544298951
92,Long Sword,2,1,50.0,0.0038287770885979022,0.1914388544298951
93,Pickaxe,1,1,100.0,0.0019143885442989511,0.1914388544298951
94,Hearthbound Axe,1,1,100.0,0.0019143885442989511,0.1914388544298951
95,B. F. Sword,1,1,100.0,0.0019143885442989511,0.1914388544298951
96,Elixir of Iron,1,1,100.0,0.0019143885442989511,0.1914388544298951
97,Spirit Visage,1,1,100.0,0.0019143885442989511,0.1914388544298951
98,Serrated Dirk,1,1,100.0,0.0019143885442989511,0.1914388544298951
99,Void Staff,1,1,100.0,0.0019143885442989511,0.1914388544298951
100,Cull,1,1,100.0,0.0019143885442989511,0.1914388544298951
101,Lich Bane,1,1,100.0,0.0019143885442989511,0.1914388544298951
102,Chain Vest,1,1,100.0,0.0019143885442989511,0.1914388544298951
103,Phantom Dancer,1,1,100.0,0.0019143885442989511,0.1914388544298951
